Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Inferred evidence score
"SMTT02453","P3H1","1","Prolyl 3-hydroxylase 1","Prolyl 3-hydroxylase 1","ENSG00000117385","Q32P28","0.000997851","0.015591","1.0","By_ingredient","0.2259"
"SMTT02455","P4HB","17","Prolyl 4-hydroxylase Subunit Beta","Protein Disulfide-isomerase","ENSG00000185624","P07237","0.00597333","0.0388881","1.0","By_ingredient","0.2224"
"SMTT02465","PAM16","16","Presequence Translocase Associated Motor 16","None","ENSG00000217930","None","0.00049904","0.009989","1.0","By_ingredient","0.2742"
"SMTT02468","PAPSS2","10","3'-phosphoadenosine 5'-phosphosulfate Synthase 2","None","ENSG00000198682","None","0.00149643","0.0199814","1.0","By_ingredient","0.2101"
"SMTT02469","PARK7","1","Parkinsonism Associated Deglycase","Protein Deglycase DJ-1","ENSG00000116288","Q99497","0.0029908","0.0293845","1.0","By_ingredient","0.2077"
"SMTT02492","PCSK1","5","Proprotein Convertase Subtilisin/kexin Type 1","Neuroendocrine Convertase 1","ENSG00000175426","P29120","0.00348846","0.0315771","1.0","By_ingredient","0.2171"
"SMTT02493","PCSK2","None","proprotein convertase subtilisin/kexin type 2","Neuroendocrine Convertase 2","ENSG00000125851","P16519","0.00348846","0.0315771","1.0","By_ingredient","0.2039"
"SMTT02494","PCSK9","1","Proprotein Convertase Subtilisin/kexin Type 9","Proprotein Convertase Subtilisin/kexin Type 9","ENSG00000169174","Q8NBP7","0.00845249","0.0444644","1.0","By_ingredient","0.2118"
"SMTT02517","PDSS1","10","Decaprenyl Diphosphate Synthase Subunit 1","None","ENSG00000148459","None","0.00348846","0.0315771","1.0","By_ingredient","0.2296"
"SMTT02518","PDSS2","6","Decaprenyl Diphosphate Synthase Subunit 2","None","ENSG00000164494","None","0.0029908","0.0293845","1.0","By_ingredient","0.2434"
"SMTT02522","PEPD","19","Peptidase D","None","ENSG00000124299","None","0.0024929","0.0264257","1.0","By_ingredient","0.2432"
"SMTT02546","PGD","None","phosphogluconate dehydrogenase","6-phosphogluconate Dehydrogenase, Decarboxylating","ENSG00000142657","P52209","0.0104317","0.0482329","1.0","By_ingredient","0.2099"
"SMTT02552","PHEX","X","Phosphate Regulating Endopeptidase Homolog X-linked","None","ENSG00000102174","None","0.00049904","0.009989","1.0","By_ingredient","0.2317"
"SMTT02556","PHGDH","1","Phosphoglycerate Dehydrogenase","D-3-phosphoglycerate Dehydrogenase","ENSG00000092621","O43175","1.03219e-05","0.000595218","1.0","By_ingredient","0.4023"
"SMTT02594","PKLR","1","Pyruvate Kinase L/R","Pyruvate Kinase PKLR","ENSG00000143627","P30613","0.00993724","0.0473779","1.0","By_ingredient","0.2138"
"SMTT02627","PMM2","16","Phosphomannomutase 2","None","ENSG00000140650","None","0.0029908","0.0293845","1.0","By_ingredient","0.209"
"SMTT02642","PNPT1","2","Polyribonucleotide Nucleotidyltransferase 1","None","ENSG00000138035","None","0.00149643","0.0199814","1.0","By_ingredient","0.2257"
"SMTT02696","PPP3CA","None","protein phosphatase 3 catalytic subunit alpha","Serine/threonine-protein Phosphatase 2B Catalytic Subunit Alpha Isoform","ENSG00000138814","Q08209","0.00498007","0.0360733","1.0","By_ingredient","0.2132"
"SMTT02697","PPP5C","None","protein phosphatase 5 catalytic subunit","Serine/threonine-protein Phosphatase 5","ENSG00000011485","P53041","0.00398589","0.032859","1.0","By_ingredient","0.2198"
"SMTT02715","PRKAG2","7","Protein Kinase AMP-activated Non-catalytic Subunit Gamma 2","5'-AMP-activated Protein Kinase Subunit Gamma-2","ENSG00000106617","Q9UGJ0","0.00597333","0.0388881","1.0","By_ingredient","0.2335"
"SMTT02731","PRODH","22","Proline Dehydrogenase 1","Proline Dehydrogenase 1, Mitochondrial","ENSG00000100033","O43272","0.00348846","0.0315771","1.0","By_ingredient","0.2111"
"SMTT02769","PTEN","10","Phosphatase And Tensin Homolog","Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase And Dual-specificity Protein Phosphatase PTEN","ENSG00000171862","P60484","0.016839","0.0577115","1.0","By_ingredient","0.2046"
"SMTT02820","RAD51","15","RAD51 Recombinase","DNA Repair Protein RAD51 Homolog 1","ENSG00000285396|ENSG00000051180","Q06609","0.00597333","0.0388881","1.0","By_ingredient","0.2205"
"SMTT02821","RAD51C","17","RAD51 Paralog C","None","ENSG00000108384","None","0.00448309","0.0346571","1.0","By_ingredient","0.2033"
"SMTT02833","RARB","3","Retinoic Acid Receptor Beta","Retinoic Acid Receptor Beta","ENSG00000077092","P10826","0.00894763","0.0454633","1.0","By_ingredient","0.1991"
"SMTT02856","RDH11","14","Retinol Dehydrogenase 11","Retinol Dehydrogenase 11","ENSG00000072042","Q8TC12","0.00894763","0.0454633","1.0","By_ingredient","0.2127"
"SMTT02857","RDH12","14","Retinol Dehydrogenase 12","Retinol Dehydrogenase 12","ENSG00000139988","Q96NR8","0.00993724","0.0473779","1.0","By_ingredient","0.2036"
"SMTT02864","REG1A","None","regenerating family member 1 alpha","Lithostathine-1-alpha","ENSG00000115386","P05451","0.00348846","0.0315771","1.0","By_ingredient","0.2256"
"SMTT02867","REN","1","Renin","Renin","ENSG00000143839","P00797","0.0129006","0.051746","1.0","By_ingredient","0.2179"
"SMTT02882","RGS9","17","Regulator Of G Protein Signaling 9","None","ENSG00000108370","None","0.00199478","0.0233139","1.0","By_ingredient","0.2458"
"SMTT02898","RNASE3","None","ribonuclease A family member 3","Eosinophil Cationic Protein","ENSG00000169397","P12724","0.00149643","0.0199814","1.0","By_ingredient","0.2284"
"SMTT02899","RNASEH1","2","Ribonuclease H1","None","ENSG00000171865","None","0.00398589","0.032859","1.0","By_ingredient","0.2222"
"SMTT02929","RPIA","2","Ribose 5-phosphate Isomerase A","Ribose-5-phosphate Isomerase","ENSG00000153574","P49247","0.00149643","0.0199814","1.0","By_ingredient","0.2257"
"SMTT02952","RRM2B","8","Ribonucleotide Reductase Regulatory TP53 Inducible Subunit M2B","Ribonucleoside-diphosphate Reductase Subunit M2 B","ENSG00000048392","Q7LG56","0.00597333","0.0388881","1.0","By_ingredient","0.2129"
"SMTT02958","RSPO1","1","R-spondin 1","None","ENSG00000169218","None","0.0029908","0.0293845","1.0","By_ingredient","0.2335"
"SMTT02959","RSPO4","20","R-spondin 4","None","ENSG00000101282","None","0.0029908","0.0293845","1.0","By_ingredient","0.2348"
"SMTT02961","RTEL1","20","Regulator Of Telomere Elongation Helicase 1","None","ENSG00000258366","None","0.000997851","0.015591","1.0","By_ingredient","0.2496"
"SMTT02963","RTN4IP1","6","Reticulon 4 Interacting Protein 1","None","ENSG00000130347","None","0.00149643","0.0199814","1.0","By_ingredient","0.2302"
"SMTT02987","SAT1","X","Spermidine/spermine N1-acetyltransferase 1","Diamine Acetyltransferase 1","ENSG00000130066","P21673","0.00746151","0.0425888","1.0","By_ingredient","0.2078"
"SMTT03016","SDHA","5","Succinate Dehydrogenase Complex Flavoprotein Subunit A","Succinate Dehydrogenase [ubiquinone] Flavoprotein Subunit, Mitochondrial","ENSG00000073578","P31040","4.802e-05","0.00192975","1.0","By_ingredient","0.3683"
"SMTT03019","SDHB","1","Succinate Dehydrogenase Complex Iron Sulfur Subunit B","Succinate Dehydrogenase [ubiquinone] Iron-sulfur Subunit, Mitochondrial","ENSG00000117118","P21912","0.00398589","0.032859","1.0","By_ingredient","0.2137"
"SMTT03020","SDHC","1","Succinate Dehydrogenase Complex Subunit C","Succinate Dehydrogenase Cytochrome B560 Subunit, Mitochondrial","ENSG00000143252","Q99643","0.00348846","0.0315771","1.0","By_ingredient","0.2182"
"SMTT03028","SELE","None","selectin E","E-selectin","ENSG00000007908","P16581","0.0158557","0.0563893","1.0","By_ingredient","0.2094"
"SMTT03032","SEMA3A","7","Semaphorin 3A","None","ENSG00000075213","None","0.0029908","0.0293845","1.0","By_ingredient","0.1995"
"SMTT03033","SEMA3C","7","Semaphorin 3C","None","ENSG00000075223","None","0.00348846","0.0315771","1.0","By_ingredient","0.2234"
"SMTT03034","SEMA3D","7","Semaphorin 3D","None","ENSG00000153993","None","0.00199478","0.0233139","1.0","By_ingredient","0.2551"
"SMTT03035","SEMA3E","7","Semaphorin 3E","None","ENSG00000170381","None","0.00199478","0.0233139","1.0","By_ingredient","0.2044"
"SMTT03036","SEMA4A","1","Semaphorin 4A","None","ENSG00000196189","None","0.00199478","0.0233139","1.0","By_ingredient","0.2535"
"SMTT03037","SEMA5A","5","Semaphorin 5A","None","ENSG00000112902","None","0.00199478","0.0233139","1.0","By_ingredient","0.2134"
"SMTT03042","SERPINA1","14","Serpin Family A Member 1","Alpha-1-antitrypsin","ENSG00000197249","P01009","0.00696568","0.041413","1.0","By_ingredient","0.2092"
"SMTT03046","SERPINC1","1","Serpin Family C Member 1","Antithrombin-III","ENSG00000117601","P01008","0.00646962","0.0399386","1.0","By_ingredient","0.2224"
"SMTT03061","SFTPA2","10","Surfactant Protein A2","None","ENSG00000185303","None","0.00348846","0.0315771","1.0","By_ingredient","0.2356"
"SMTT03075","SH2D1A","X","SH2 Domain Containing 1A","None","ENSG00000183918","None","0.00049904","0.009989","1.0","By_ingredient","0.2358"
"SMTT03085","SI","3","Sucrase-isomaltase","Sucrase-isomaltase, Intestinal","ENSG00000090402","P14410","0.00894763","0.0454633","1.0","By_ingredient","0.1649"
"SMTT03087","SIK1","21","Salt Inducible Kinase 1","Serine/threonine-protein Kinase SIK1","ENSG00000142178","P57059","0.0029908","0.0293845","1.0","By_ingredient","0.2479"
"SMTT03107","SLC13A5","17","Solute Carrier Family 13 Member 5","None","ENSG00000141485","None","0.000997851","0.015591","1.0","By_ingredient","0.2649"
"SMTT03132","SLC25A1","22","Solute Carrier Family 25 Member 1","None","ENSG00000100075","None","0.0024929","0.0264257","1.0","By_ingredient","0.223"
"SMTT03247","SNRPB","20","Small Nuclear Ribonucleoprotein Polypeptides B And B1","None","ENSG00000125835","None","0.00348846","0.0315771","1.0","By_ingredient","0.227"
"SMTT03280","SPEG","2","SPEG Complex Locus","None","ENSG00000072195","None","0.0024929","0.0264257","1.0","By_ingredient","0.2465"
"SMTT03300","SRC","20","SRC Proto-oncogene, Non-receptor Tyrosine Kinase","Proto-oncogene Tyrosine-protein Kinase Src","ENSG00000197122","P12931","0.00119646","0.0173314","1.0","By_ingredient","0.3922"
"SMTT03304","SREBF1","None","sterol regulatory element binding transcription factor 1","Sterol Regulatory Element-binding Protein 1","ENSG00000072310","P36956","0.0192931","0.0603893","1.0","By_ingredient","0.1716"
"SMTT03322","STEAP3","2","STEAP3 Metalloreductase","None","ENSG00000115107","None","0.00199478","0.0233139","1.0","By_ingredient","0.2122"
"SMTT03330","STRADA","17","STE20-related Kinase Adaptor Alpha","None","ENSG00000266173","None","0.000997851","0.015591","1.0","By_ingredient","0.2425"
"SMTT03377","TALDO1","11","Transaldolase 1","None","ENSG00000177156","None","0.00149643","0.0199814","1.0","By_ingredient","0.2333"
"SMTT03436","TF","3","Transferrin","Serotransferrin","ENSG00000091513","P02787","0.0104317","0.0482329","1.0","By_ingredient","0.2039"
"SMTT03443","TFRC","3","Transferrin Receptor","Transferrin Receptor Protein 1","ENSG00000072274","P02786","0.0119137","0.0501663","1.0","By_ingredient","0.2042"
"SMTT03447","TGFB1","19","Transforming Growth Factor Beta 1","Transforming Growth Factor Beta-1","ENSG00000105329","P01137","0.0363143","0.0779393","1.0","By_ingredient","0.1983"
"SMTT03448","TGFB2","1","Transforming Growth Factor Beta 2","None","ENSG00000092969","None","0.00498007","0.0360733","1.0","By_ingredient","0.2397"
"SMTT03449","TGFB3","14","Transforming Growth Factor Beta 3","Transforming Growth Factor Beta-3","ENSG00000119699","P10600","0.00398589","0.032859","1.0","By_ingredient","0.2276"
"SMTT03475","TLR4","9","Toll Like Receptor 4","Toll-like Receptor 4","ENSG00000136869","O00206","0.02516","0.067052","1.0","By_ingredient","0.19"
"SMTT03532","TPI1","12","Triosephosphate Isomerase 1","Triosephosphate Isomerase","ENSG00000111669","P60174","0.000608482","0.0114215","1.0","By_ingredient","0.3889"
"SMTT03539","TPP2","13","Tripeptidyl Peptidase 2","None","ENSG00000134900","None","0.00894763","0.0454633","1.0","By_ingredient","0.2226"
"SMTT03590","TRPV1","None","transient receptor potential cation channel subfamily V member 1","Transient Receptor Potential Cation Channel Subfamily V Member 1","ENSG00000196689","Q8NER1","0.0143792","0.0541202","1.0","By_ingredient","0.2052"
"SMTT03619","TTN","2","Titin","None","ENSG00000155657","None","0.00199478","0.0233139","1.0","By_ingredient","0.2077"
"SMTT03641","TXN","None","thioredoxin","Thioredoxin","ENSG00000136810","P10599","0.0129006","0.051746","1.0","By_ingredient","0.2231"
"SMTT03642","TXN2","22","Thioredoxin 2","None","ENSG00000100348","None","0.00646962","0.0399386","1.0","By_ingredient","0.2396"
"SMTT03644","TXNRD1","None","thioredoxin reductase 1","Thioredoxin Reductase 1, Cytoplasmic","ENSG00000198431","Q16881","0.0241844","0.0658197","1.0","By_ingredient","0.1791"
"SMTT03651","UBA1","X","Ubiquitin Like Modifier Activating Enzyme 1","Ubiquitin-like Modifier-activating Enzyme 1","ENSG00000130985","P22314","0.0029908","0.0293845","1.0","By_ingredient","0.1842"
"SMTT03667","UMPS","3","Uridine Monophosphate Synthetase","Uridine 5'-monophosphate Synthase","ENSG00000114491","P11172","0.00348846","0.0315771","1.0","By_ingredient","0.2221"
"SMTT03673","UNG","12","Uracil DNA Glycosylase","Uracil-DNA Glycosylase","ENSG00000076248","P13051","0.00348846","0.0315771","1.0","By_ingredient","0.2286"
"SMTT03738","WDR36","5","WD Repeat Domain 36","None","ENSG00000134987","None","0.000997851","0.015591","1.0","By_ingredient","0.2757"
"SMTT03771","XPNPEP3","22","X-prolyl Aminopeptidase 3","None","ENSG00000196236","None","0.00199478","0.0233139","1.0","By_ingredient","0.2233"
"SMTT03793","ZEB1","10","Zinc Finger E-box Binding Homeobox 1","None","ENSG00000148516","None","0.00498007","0.0360733","1.0","By_ingredient","0.1735"
"SMTT03852","EIF4EBP1","8","Eukaryotic Translation Initiation Factor 4E Binding Protein 1","None","ENSG00000187840","Q13541","0.0024929","0.0264257","1.0","By_ingredient","0.2081"
"SMTT03853","EIF4G1","3","Eukaryotic Translation Initiation Factor 4 Gamma 1","None","ENSG00000114867","Q04637","0.00348846","0.0315771","1.0","By_ingredient","0.2258"
"SMTT03859","CD69","12","CD69 Molecule","None","ENSG00000110848","Q07108","0.00845249","0.0444644","1.0","By_ingredient","0.2333"
"SMTT03868","CDKN3","14","Cyclin Dependent Kinase Inhibitor 3","None","ENSG00000100526","Q16667","0.00448309","0.0346571","1.0","By_ingredient","0.2264"
"SMTT03875","BAK1","6","BCL2 Antagonist/killer 1","None","ENSG00000030110","Q16611","0.0158557","0.0563893","1.0","By_ingredient","0.2101"
"SMTT03880","ACLY","17","ATP Citrate Lyase","None","ENSG00000131473","P53396","0.00795711","0.0435365","1.0","By_ingredient","0.2025"
"SMTT03881","BCL2A1","15","BCL2 Related Protein A1","None","ENSG00000140379","Q16548","0.00993724","0.0473779","1.0","By_ingredient","0.2069"
"SMTT03883","CHI3L1","1","Chitinase 3 Like 1","None","ENSG00000133048","P36222","6.42614e-06","0.00040945","1.0","By_ingredient","0.3967"
"SMTT03892","BOK","2","BOK, BCL2 Family Apoptosis Regulator","None","ENSG00000176720","Q9UMX3","0.00646962","0.0399386","1.0","By_ingredient","0.2258"
"SMTT03901","CNP","17","2',3'-cyclic Nucleotide 3' Phosphodiesterase","None","ENSG00000173786","P09543","0.0024929","0.0264257","1.0","By_ingredient","0.2328"
"SMTT03907","DUSP1","5","Dual Specificity Phosphatase 1","None","ENSG00000120129","P28562","0.00597333","0.0388881","1.0","By_ingredient","0.1959"
"SMTT03910","AMY1C","1","Amylase, Alpha 1C (salivary)","None","ENSG00000187733","P04745","0.000997851","0.015591","1.0","By_ingredient","0.2178"
"SMTT03919","CAV2","7","Caveolin 2","None","ENSG00000105971","P51636","0.000997851","0.015591","1.0","By_ingredient","0.2312"
"SMTT03951","FABP4","8","Fatty Acid Binding Protein 4","None","ENSG00000170323","P15090","0.0119137","0.0501663","1.0","By_ingredient","0.2036"
"SMTT03953","FABP5","8","Fatty Acid Binding Protein 5","None","ENSG00000164687","Q01469","0.00894763","0.0454633","1.0","By_ingredient","0.2109"
"SMTT03970","FOSL2","2","FOS Like 2, AP-1 Transcription Factor Subunit","None","ENSG00000075426","P15408","0.00547682","0.0378448","1.0","By_ingredient","0.1853"
"SMTT03994","CLEC11A","19","C-type Lectin Domain Containing 11A","None","ENSG00000105472","Q9Y240","3.44451e-06","0.0002517","1.0","By_ingredient","0.4273"
"SMTT03997","PTPRG","3","Protein Tyrosine Phosphatase, Receptor Type G","None","ENSG00000144724","P23470","0.00597333","0.0388881","1.0","By_ingredient","0.2131"
"SMTT04024","OLR1","12","Oxidized Low Density Lipoprotein Receptor 1","None","ENSG00000173391","P78380","0.00993724","0.0473779","1.0","By_ingredient","0.207"
"SMTT04028","RGS2","1","Regulator Of G Protein Signaling 2","None","ENSG00000116741","P41220","0.00547682","0.0378448","1.0","By_ingredient","0.2062"
"SMTT04029","RGS4","1","Regulator Of G Protein Signaling 4","None","ENSG00000117152","P49798","0.0024929","0.0264257","1.0","By_ingredient","0.2191"
"SMTT04053","PFKL","21","Phosphofructokinase, Liver Type","None","ENSG00000141959","P17858","0.0029908","0.0293845","1.0","By_ingredient","0.233"
"SMTT04057","SREBF2","22","Sterol Regulatory Element Binding Transcription Factor 2","None","ENSG00000198911","Q12772","0.0104317","0.0482329","1.0","By_ingredient","0.192"
"SMTT04100","PRDX4","X","Peroxiredoxin 4","None","ENSG00000123131","Q13162","0.00398589","0.032859","1.0","By_ingredient","0.2265"
"SMTT04106","AHSA1","14","Activator Of HSP90 ATPase Activity 1","None","ENSG00000100591","O95433","0.0173303","0.0581309","1.0","By_ingredient","0.1969"
"SMTT04126","EEF1E1","6","Eukaryotic Translation Elongation Factor 1 Epsilon 1","None","ENSG00000124802","O43324","0.00448309","0.0346571","1.0","By_ingredient","0.2144"
"SMTT04169","RGS17","6","Regulator Of G Protein Signaling 17","None","ENSG00000091844","Q9UGC6","0.00149643","0.0199814","1.0","By_ingredient","0.2226"
"SMTT04176","ALG5","13","ALG5, Dolichyl-phosphate Beta-glucosyltransferase","None","ENSG00000120697","Q9Y673","0.00149643","0.0199814","1.0","By_ingredient","0.2462"
"SMTT04179","DUSP22","6","Dual Specificity Phosphatase 22","None","ENSG00000112679","Q9NRW4","0.0029908","0.0293845","1.0","By_ingredient","0.2163"
"SMTT04195","OXSM","3","3-oxoacyl-ACP Synthase, Mitochondrial","None","ENSG00000151093","Q9NWU1","0.00348846","0.0315771","1.0","By_ingredient","0.2262"
"SMTT04225","GDPD5","11","Glycerophosphodiester Phosphodiesterase Domain Containing 5","None","ENSG00000158555","Q8WTR4","0.0029908","0.0293845","1.0","By_ingredient","0.1996"
"SMTT04234","NAPEPLD","7","N-acyl Phosphatidylethanolamine Phospholipase D","None","ENSG00000161048","Q6IQ20","0.00498007","0.0360733","1.0","By_ingredient","0.2277"
"SMTT04240","PGP","16","Phosphoglycolate Phosphatase","None","ENSG00000184207","A6NDG6","0.0029908","0.0293845","1.0","By_ingredient","0.2131"
"SMTT04241","HSD17B13","4","Hydroxysteroid 17-beta Dehydrogenase 13","None","ENSG00000170509","Q7Z5P4","0.00746151","0.0425888","1.0","By_ingredient","0.2094"
"SMTT04333","ABCF1","None","ATP binding cassette subfamily F member 1","None","ENSG00000204574","None","0.00199478","0.0233139","1.0","By_ingredient","0.2157"
"SMTT04334","ABCF2","None","ATP binding cassette subfamily F member 2","None","ENSG00000033050","None","0.000997851","0.015591","1.0","By_ingredient","0.2279"
"SMTT04335","ABCF3","None","ATP binding cassette subfamily F member 3","None","ENSG00000161204","None","0.000997851","0.015591","1.0","By_ingredient","0.2417"
"SMTT04359","ACAA2","None","acetyl-CoA acyltransferase 2","None","ENSG00000167315","None","0.0119137","0.0501663","1.0","By_ingredient","0.1682"
"SMTT04371","ACO1","None","aconitase 1","None","ENSG00000122729","None","0.00348846","0.0315771","1.0","By_ingredient","0.2121"
"SMTT04374","ACOT11","None","acyl-CoA thioesterase 11","None","ENSG00000162390","None","0.000997851","0.015591","1.0","By_ingredient","0.2364"
"SMTT04375","ACOT12","None","acyl-CoA thioesterase 12","None","ENSG00000172497","None","0.000997851","0.015591","1.0","By_ingredient","0.2351"
"SMTT04380","ACOT7","None","acyl-CoA thioesterase 7","None","ENSG00000097021","None","0.00993724","0.0473779","1.0","By_ingredient","0.222"
"SMTT04392","ACSF2","None","acyl-CoA synthetase family member 2","None","ENSG00000167107","None","0.00149643","0.0199814","1.0","By_ingredient","0.2201"
"SMTT04450","ADD1","None","adducin 1","None","ENSG00000087274","None","0.00398589","0.032859","1.0","By_ingredient","0.2395"
"SMTT04451","ADD2","None","adducin 2","None","ENSG00000075340","None","0.0024929","0.0264257","1.0","By_ingredient","0.2197"
"SMTT04452","ADD3","None","adducin 3","None","ENSG00000148700","None","0.00547682","0.0378448","1.0","By_ingredient","0.2063"
"SMTT04493","ADSS1","None","None","None","None","None","0.0114199","0.0500184","1.0","By_ingredient","0.2162"
"SMTT04494","ADSS2","None","None","None","None","None","0.00149643","0.0199814","1.0","By_ingredient","0.2469"
"SMTT04505","AGBL3","None","ATP/GTP binding protein like 3","None","ENSG00000146856","None","0.00398589","0.032859","1.0","By_ingredient","0.2424"
"SMTT04506","AGBL4","None","ATP/GTP binding protein like 4","None","ENSG00000186094","None","0.00398589","0.032859","1.0","By_ingredient","0.2309"
"SMTT04519","AGTPBP1","None","ATP/GTP binding protein 1","None","ENSG00000135049","None","0.00597333","0.0388881","1.0","By_ingredient","0.2159"
"SMTT04543","AKR1A1","None","aldo-keto reductase family 1 member A1","None","ENSG00000117448","None","0.0138865","0.0533141","1.0","By_ingredient","0.203"
"SMTT04544","AKR1B10","None","aldo-keto reductase family 1 member B10","None","ENSG00000198074","None","0.02516","0.067052","1.0","By_ingredient","0.2101"
"SMTT04545","AKR1B15","None","aldo-keto reductase family 1 member B15","None","ENSG00000227471","None","0.00944255","0.0465341","1.0","By_ingredient","0.2215"
"SMTT04549","AKR1C4","None","aldo-keto reductase family 1 member C4","None","ENSG00000198610","None","0.0119137","0.0501663","1.0","By_ingredient","0.206"
"SMTT04550","AKR1E2","None","aldo-keto reductase family 1 member E2","None","ENSG00000165568","None","0.0129006","0.051746","1.0","By_ingredient","0.2067"
"SMTT04551","AKR7A2","None","aldo-keto reductase family 7 member A2","None","ENSG00000053371","None","0.00199478","0.0233139","1.0","By_ingredient","0.2173"
"SMTT04552","AKR7A3","None","aldo-keto reductase family 7 member A3","None","ENSG00000162482","None","0.00199478","0.0233139","1.0","By_ingredient","0.2099"
"SMTT04556","ALDH16A1","None","aldehyde dehydrogenase 16 family member A1","None","ENSG00000161618","None","0.00398589","0.032859","1.0","By_ingredient","0.233"
"SMTT04557","ALDH1A1","None","aldehyde dehydrogenase 1 family member A1","None","ENSG00000165092","None","0.00845249","0.0444644","1.0","By_ingredient","0.1893"
"SMTT04558","ALDH1A2","None","aldehyde dehydrogenase 1 family member A2","None","ENSG00000128918","None","0.00398589","0.032859","1.0","By_ingredient","0.2178"
"SMTT04559","ALDH1B1","None","aldehyde dehydrogenase 1 family member B1","None","ENSG00000137124","None","0.00894763","0.0454633","1.0","By_ingredient","0.2176"
"SMTT04560","ALDH1L1","None","aldehyde dehydrogenase 1 family member L1","None","ENSG00000144908","None","0.00398589","0.032859","1.0","By_ingredient","0.215"
"SMTT04561","ALDH1L2","None","aldehyde dehydrogenase 1 family member L2","None","ENSG00000136010","None","0.00398589","0.032859","1.0","By_ingredient","0.2128"
"SMTT04562","ALDH3B2","None","aldehyde dehydrogenase 3 family member B2","None","ENSG00000132746","None","0.00448309","0.0346571","1.0","By_ingredient","0.2167"
"SMTT04563","ALDH8A1","None","aldehyde dehydrogenase 8 family member A1","None","ENSG00000118514","None","0.00448309","0.0346571","1.0","By_ingredient","0.2292"
"SMTT04564","ALDH9A1","None","aldehyde dehydrogenase 9 family member A1","None","ENSG00000143149","None","0.0109259","0.0494643","1.0","By_ingredient","0.2078"
"SMTT04573","ALKBH5","None","alkB homolog 5, RNA demethylase","None","ENSG00000091542","None","0.00199478","0.0233139","1.0","By_ingredient","0.2244"
"SMTT04575","ALKBH8","None","alkB homolog 8, tRNA methyltransferase","None","ENSG00000137760","None","0.00348846","0.0315771","1.0","By_ingredient","0.2192"
"SMTT04595","AMY1A","None","amylase, alpha 1A (salivary)","None","ENSG00000237763","None","0.00993724","0.0473779","1.0","By_ingredient","0.2252"
"SMTT04596","AMY2B","None","amylase, alpha 2B (pancreatic)","None","ENSG00000240038","None","0.00993724","0.0473779","1.0","By_ingredient","0.2226"
"SMTT04597","AMZ1","None","archaelysin family metallopeptidase 1","None","ENSG00000174945","None","0.000997851","0.015591","1.0","By_ingredient","0.2381"
"SMTT04598","AMZ2","None","archaelysin family metallopeptidase 2","None","ENSG00000196704","None","0.000997851","0.015591","1.0","By_ingredient","0.2455"
"SMTT04672","ANTKMT","None","None","None","None","None","0.00199478","0.0233139","1.0","By_ingredient","0.2388"
"SMTT04702","APIP","None","APAF1 interacting protein","None","ENSG00000149089","None","0.0024929","0.0264257","1.0","By_ingredient","0.2194"
"SMTT04714","APOH","None","apolipoprotein H","None","ENSG00000091583","None","0.00398589","0.032859","1.0","By_ingredient","0.2351"
"SMTT04719","APOM","None","apolipoprotein M","None","ENSG00000204444","None","0.00448309","0.0346571","1.0","By_ingredient","0.2135"
"SMTT04733","ARF1","None","ADP ribosylation factor 1","None","ENSG00000143761","None","0.0114199","0.0500184","1.0","By_ingredient","0.2121"
"SMTT04737","ARF6","None","ADP ribosylation factor 6","None","ENSG00000165527","None","0.00199478","0.0233139","1.0","By_ingredient","0.2267"
"SMTT04844","ASGR1","None","asialoglycoprotein receptor 1","None","ENSG00000141505","None","0.0029908","0.0293845","1.0","By_ingredient","0.2188"
"SMTT04857","ASPN","None","asporin","None","ENSG00000106819","None","0.0029908","0.0293845","1.0","By_ingredient","0.2105"
"SMTT04876","ATG7","None","autophagy related 7","None","ENSG00000197548","None","0.00348846","0.0315771","1.0","By_ingredient","0.2127"
"SMTT04949","B3GNTL1","None","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1","None","ENSG00000175711","None","0.00149643","0.0199814","1.0","By_ingredient","0.238"
"SMTT04980","BCAT1","None","branched chain amino acid transaminase 1","None","ENSG00000060982","None","0.00348846","0.0315771","1.0","By_ingredient","0.2141"
"SMTT04981","BCAT2","None","branched chain amino acid transaminase 2","None","ENSG00000105552","None","0.00149643","0.0199814","1.0","By_ingredient","0.2293"
"SMTT04986","BCL2L14","None","BCL2 like 14","None","ENSG00000121380","None","0.00348846","0.0315771","1.0","By_ingredient","0.252"
"SMTT04995","BDH2","None","3-hydroxybutyrate dehydrogenase 2","None","ENSG00000164039","None","0.00795711","0.0435365","1.0","By_ingredient","0.1952"
"SMTT05009","BHMT","None","betaine--homocysteine S-methyltransferase","None","ENSG00000145692","None","0.00944255","0.0465341","1.0","By_ingredient","0.2134"
"SMTT05025","BMP10","None","bone morphogenetic protein 10","None","ENSG00000163217","None","0.00049904","0.009989","1.0","By_ingredient","0.2791"
"SMTT05027","BMP3","None","bone morphogenetic protein 3","None","ENSG00000152785","None","0.00049904","0.009989","1.0","By_ingredient","0.2843"
"SMTT05028","BMP5","None","bone morphogenetic protein 5","None","ENSG00000112175","None","0.00049904","0.009989","1.0","By_ingredient","0.2231"
