Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Inferred evidence score
"SMTT08103","MARK2","None","microtubule affinity regulating kinase 2","None","ENSG00000072518","None","0.000997851","0.015591","1.0","By_ingredient","0.2259"
"SMTT08104","MARK3","None","microtubule affinity regulating kinase 3","None","ENSG00000075413","None","0.00049904","0.009989","1.0","By_ingredient","0.2615"
"SMTT08105","MARK4","None","microtubule affinity regulating kinase 4","None","ENSG00000007047","None","0.0024929","0.0264257","1.0","By_ingredient","0.2238"
"SMTT08128","MBTPS1","None","membrane bound transcription factor peptidase, site 1","None","ENSG00000140943","None","0.0029908","0.0293845","1.0","By_ingredient","0.2057"
"SMTT08143","MDH1","None","malate dehydrogenase 1","None","ENSG00000014641","None","0.00199478","0.0233139","1.0","By_ingredient","0.2298"
"SMTT08144","MDH1B","None","malate dehydrogenase 1B","None","ENSG00000138400","None","0.00149643","0.0199814","1.0","By_ingredient","0.2151"
"SMTT08145","MDH2","None","malate dehydrogenase 2","None","ENSG00000146701","None","0.00597333","0.0388881","1.0","By_ingredient","0.2097"
"SMTT08147","MDM4","None","MDM4, p53 regulator","None","ENSG00000198625","None","0.00149643","0.0199814","1.0","By_ingredient","0.2197"
"SMTT08149","ME2","None","malic enzyme 2","None","ENSG00000082212","None","0.0367966","0.0784152","1.0","By_ingredient","0.1731"
"SMTT08176","METAP1","None","methionyl aminopeptidase 1","None","ENSG00000164024","None","0.0029908","0.0293845","1.0","By_ingredient","0.2357"
"SMTT08177","METAP1D","None","methionyl aminopeptidase type 1D, mitochondrial","None","ENSG00000172878","None","0.0024929","0.0264257","1.0","By_ingredient","0.2459"
"SMTT08178","METAP2","None","methionyl aminopeptidase 2","None","ENSG00000111142","None","0.00944255","0.0465341","1.0","By_ingredient","0.2256"
"SMTT08183","METTL21C","None","methyltransferase like 21C","None","ENSG00000139780","None","0.00199478","0.0233139","1.0","By_ingredient","0.232"
"SMTT08184","METTL27","None","methyltransferase like 27","None","ENSG00000165171","None","0.00199478","0.0233139","1.0","By_ingredient","0.2278"
"SMTT08274","MOCS3","None","molybdenum cofactor synthesis 3","None","ENSG00000124217","None","0.0024929","0.0264257","1.0","By_ingredient","0.2253"
"SMTT08335","MRPL4","None","mitochondrial ribosomal protein L4","None","ENSG00000105364","None","0.00348846","0.0315771","1.0","By_ingredient","0.2232"
"SMTT08388","MTERF1","None","mitochondrial transcription termination factor 1","None","ENSG00000127989","None","0.00049904","0.009989","1.0","By_ingredient","0.2514"
"SMTT08499","NAE1","None","NEDD8 activating enzyme E1 subunit 1","None","ENSG00000159593","None","0.000997851","0.015591","1.0","By_ingredient","0.2306"
"SMTT08616","NIF3L1","None","NGG1 interacting factor 3 like 1","None","ENSG00000196290","None","0.00149643","0.0199814","1.0","By_ingredient","0.2352"
"SMTT08648","NME2","None","NME/NM23 nucleoside diphosphate kinase 2","None","ENSG00000243678","None","0.0024929","0.0264257","1.0","By_ingredient","0.2288"
