Target id,Gene symbol,Chromosome,Gene name,Protein name,Ensembl id,UniProt id,P_value,FDR(BH),FDR(Bonferroni),Relationship,Value
"SMTT08335","MRPL4","None","mitochondrial ribosomal protein L4","None","ENSG00000105364","None","0.0170734","0.0581309","1.0","By_ingredient","0.1871"
"SMTT08388","MTERF1","None","mitochondrial transcription termination factor 1","None","ENSG00000127989","None","0.00245681","0.026213","1.0","By_ingredient","0.2108"
"SMTT08499","NAE1","None","NEDD8 activating enzyme E1 subunit 1","None","ENSG00000159593","None","0.00490769","0.0356932","1.0","By_ingredient","0.1933"
"SMTT08616","NIF3L1","None","NGG1 interacting factor 3 like 1","None","ENSG00000196290","None","0.00735263","0.0421606","1.0","By_ingredient","0.1972"
"SMTT08648","NME2","None","NME/NM23 nucleoside diphosphate kinase 2","None","ENSG00000243678","None","0.0122248","0.0506489","1.0","By_ingredient","0.1918"
"SMTT08649","NME3","None","NME/NM23 nucleoside diphosphate kinase 3","None","ENSG00000103024","None","0.0122248","0.0506489","1.0","By_ingredient","0.1882"
"SMTT08650","NME4","None","NME/NM23 nucleoside diphosphate kinase 4","None","ENSG00000103202","None","0.00979166","0.0471444","1.0","By_ingredient","0.1835"
"SMTT08651","NME5","None","NME/NM23 family member 5","None","ENSG00000112981","None","0.00735263","0.0421606","1.0","By_ingredient","0.2084"
"SMTT08652","NME6","None","NME/NM23 nucleoside diphosphate kinase 6","None","ENSG00000172113","None","0.00735263","0.0421606","1.0","By_ingredient","0.2177"
"SMTT08653","NME7","None","NME/NM23 family member 7","None","ENSG00000143156","None","0.00979166","0.0471444","1.0","By_ingredient","0.2024"
"SMTT08655","NMNAT2","None","nicotinamide nucleotide adenylyltransferase 2","None","ENSG00000157064","None","0.00490769","0.0356932","1.0","By_ingredient","0.1856"
"SMTT08656","NMNAT3","None","nicotinamide nucleotide adenylyltransferase 3","None","ENSG00000163864","None","0.00490769","0.0356932","1.0","By_ingredient","0.1921"
"SMTT08667","NOD1","None","nucleotide binding oligomerization domain containing 1","None","ENSG00000106100","None","0.00490769","0.0356932","1.0","By_ingredient","0.194"
"SMTT08759","NUDT10","None","nudix hydrolase 10","None","ENSG00000122824","None","0.0122248","0.0506489","1.0","By_ingredient","0.185"
"SMTT08768","NUDT6","None","nudix hydrolase 6","None","ENSG00000170917","None","0.00490769","0.0356932","1.0","By_ingredient","0.2336"
"SMTT08804","OBSCN","None","obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF","None","ENSG00000154358","None","0.00979166","0.0471444","1.0","By_ingredient","0.2032"
"SMTT08872","OVGP1","None","oviductal glycoprotein 1","None","ENSG00000085465","None","0.0218986","0.0637567","1.0","By_ingredient","0.1903"
"SMTT08891","P4HA2","None","prolyl 4-hydroxylase subunit alpha 2","None","ENSG00000072682","None","0.0170734","0.0581309","1.0","By_ingredient","0.1953"
"SMTT08894","PA2G4","None","proliferation-associated 2G4","None","ENSG00000170515","None","0.0194889","0.0604666","1.0","By_ingredient","0.1943"
"SMTT08907","PAICS","None","phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase","None","ENSG00000128050","None","0.0218986","0.0637567","1.0","By_ingredient","0.1713"
"SMTT08922","PAPOLA","None","poly(A) polymerase alpha","None","ENSG00000090060","None","0.00979166","0.0471444","1.0","By_ingredient","0.1896"
"SMTT08923","PAPOLB","None","poly(A) polymerase beta","None","ENSG00000218823","None","0.00490769","0.0356932","1.0","By_ingredient","0.2001"
"SMTT08924","PAPOLG","None","poly(A) polymerase gamma","None","ENSG00000115421","None","0.00490769","0.0356932","1.0","By_ingredient","0.2168"
"SMTT08925","PAPSS1","None","3'-phosphoadenosine 5'-phosphosulfate synthase 1","None","ENSG00000138801","None","0.00490769","0.0356932","1.0","By_ingredient","0.1844"
"SMTT08937","PARP12","None","poly(ADP-ribose) polymerase family member 12","None","ENSG00000059378","None","0.00735263","0.0421606","1.0","By_ingredient","0.2038"
"SMTT09026","PCSK4","None","proprotein convertase subtilisin/kexin type 4","None","ENSG00000115257","None","0.014652","0.0546754","1.0","By_ingredient","0.1795"
"SMTT09027","PCSK5","None","proprotein convertase subtilisin/kexin type 5","None","ENSG00000099139","None","0.0170734","0.0581309","1.0","By_ingredient","0.2017"
"SMTT09028","PCSK7","None","proprotein convertase subtilisin/kexin type 7","None","ENSG00000160613","None","0.0243024","0.0660284","1.0","By_ingredient","0.1813"
"SMTT09049","PDE5A","None","phosphodiesterase 5A","None","ENSG00000138735","None","0.0480233","0.0890106","1.0","By_ingredient","0.1825"
"SMTT09054","PDF","None","peptide deformylase, mitochondrial","None","ENSG00000258429","None","0.014652","0.0546754","1.0","By_ingredient","0.1824"
"SMTT09056","PDIA2","None","protein disulfide isomerase family A member 2","None","ENSG00000185615","None","0.014652","0.0546754","1.0","By_ingredient","0.1964"
"SMTT09057","PDIA3","None","protein disulfide isomerase family A member 3","None","ENSG00000167004","None","0.0243024","0.0660284","1.0","By_ingredient","0.1821"
"SMTT09058","PDIA4","None","protein disulfide isomerase family A member 4","None","ENSG00000155660","None","0.0170734","0.0581309","1.0","By_ingredient","0.1949"
"SMTT09059","PDIA5","None","protein disulfide isomerase family A member 5","None","ENSG00000065485","None","0.014652","0.0546754","1.0","By_ingredient","0.1857"
"SMTT09060","PDIA6","None","protein disulfide isomerase family A member 6","None","ENSG00000143870","None","0.0170734","0.0581309","1.0","By_ingredient","0.1954"
"SMTT09062","PDILT","None","protein disulfide isomerase like, testis expressed","None","ENSG00000169340","None","0.014652","0.0546754","1.0","By_ingredient","0.1913"
"SMTT09080","PDXP","None","pyridoxal phosphatase","None","ENSG00000241360","None","0.014652","0.0546754","1.0","By_ingredient","0.2024"
"SMTT09087","PEBP1","None","phosphatidylethanolamine binding protein 1","None","ENSG00000089220","None","0.0218986","0.0637567","1.0","By_ingredient","0.2162"
"SMTT09089","PECR","None","peroxisomal trans-2-enoyl-CoA reductase","None","ENSG00000115425","None","0.0386039","0.080027","1.0","By_ingredient","0.1562"
"SMTT09114","PGAM1","None","phosphoglycerate mutase 1","None","ENSG00000171314","None","8.85635e-05","0.00300605","1.0","By_ingredient","0.3643"
"SMTT09123","PGLS","None","6-phosphogluconolactonase","None","ENSG00000130313","None","0.00979166","0.0471444","1.0","By_ingredient","0.1951"
"SMTT09189","PILRA","None","paired immunoglobin like type 2 receptor alpha","None","ENSG00000085514","None","0.00245681","0.026213","1.0","By_ingredient","0.1832"
"SMTT09192","PIN1","None","peptidylprolyl cis/trans isomerase, NIMA-interacting 1","None","ENSG00000127445","None","0.0194889","0.0604666","1.0","By_ingredient","0.1799"
"SMTT09207","PKM","None","pyruvate kinase M1/2","None","ENSG00000067225","None","0.00573624","0.0387101","1.0","By_ingredient","0.3687"
"SMTT09242","PLEKHA1","None","pleckstrin homology domain containing A1","None","ENSG00000107679","None","0.00979166","0.0471444","1.0","By_ingredient","0.1901"
"SMTT09288","PMM1","None","phosphomannomutase 1","None","ENSG00000100417","None","0.00979166","0.0471444","1.0","By_ingredient","0.1823"
"SMTT09289","PMP2","None","peripheral myelin protein 2","None","ENSG00000147588","None","0.0267005","0.0686599","1.0","By_ingredient","0.169"
"SMTT09366","PPEF1","None","protein phosphatase with EF-hand domain 1","None","ENSG00000086717","None","0.00735263","0.0421606","1.0","By_ingredient","0.2017"
"SMTT09367","PPEF2","None","protein phosphatase with EF-hand domain 2","None","ENSG00000156194","None","0.00735263","0.0421606","1.0","By_ingredient","0.183"
"SMTT09378","PPIF","None","peptidylprolyl isomerase F","None","ENSG00000108179","None","0.0409673","0.0826373","1.0","By_ingredient","0.1707"
